i hate u, i love u (feat. olivia o'brien), gnash,43
INDUSTRY BABY (feat. Jack Harlow), Lil Nas X,84
No Way, JRL,47
Stay Up, Sophie Francis,41
Crossfire, Robby East,44
Fire & Gold, Morgan Page,53
Just My Type (feat. Jordan Shaw), Buzz Low,31
Beach House, The Chainsmokers,55
Lonely Together - (feat. Rita Ora) Alan Walker Remix, Avicii,60
Wellerman - Sea Shanty, Nathan Evans,77
Stop, Drop, Roll, Can't Stop Won't Stop,50
Tick Tick Boom (feat. BygTwo3), Various Artists,62
Waiting For Love, Avicii,81
The Middle, Zedd,79
We Don't Care, Sigala,55
Sweet but Psycho, Ava Max,80
Let You Down, NF,80
I Like Me Better, Lauv,72
Beautiful Now, Zedd,69
rockstar (feat. 21 Savage), Post Malone,84
Tired, Alan Walker,63
Dreamer, Axwell /\ Ingrosso,63
Middle Of The Night, The Vamps,60
Complicated (feat. Kiiara), Dimitri Vegas & Like Mike,58
MIDDLE OF THE NIGHT, Elley Duh�,88
Bones, Imagine Dragons,88
Weak, AJR,66
World's Smallest Violin, AJR,77
Fireflies, Binky,44
Brighter Than Gold, Louis II,52
100 Bad Days, AJR,65
Chlorine, Twenty One Pilots,75
Legend, The Score,70
Bang!, AJR,72
Spirits, The Strumbellas,71
Brightside, Arrested Youth,55
Livin' for the Weekend, Fitz and The Tantrums,54
Ghost Town, Layto,61
Mood (feat. iann dior), 24kGoldn,82
